cid,url,catalog_year,course_id,title,credits,attempts,department,Description,Prerequisite(s),Schedule Type,Hours of Lecture or Seminar per week,Hours of Lab or Studio per week,When Offered,Notes,Grading,Corequisite(s)
ACCT532,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308588,2016-2017,ACCT 532,Foundations of Financial Reporting II,3,Not Repeatable for Credit,School of Business,"ÊUpon completing course students will be knowledgeable about global business and trade as it applies to international financial reporting standards. Students explore topics including: current liabilities and contingencies, bonds and long term notes, leases, accounting for income taxes, pensions, shareholder's equity and share based compensation.","ACCT 331, ACCT 531, or equivalent and FNAN 301, BMGT 643 or equivalent, both with a grade of ""B-"" or higher. Or permission of program director.",LEC,3,0,,,,
ACCT551,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308589,2016-2017,ACCT 551,Foundations of Taxation of Business Entities,3,Not Repeatable for Credit,School of Business,ÊThe objective of this course is to build a sound conceptual and technical foundation for the study of federal income taxation that provides students with the tools necessary to stay current with the ever-changing tax law.,Permission of program director.,LEC,3,0,,,,
ACCT561,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308590,2016-2017,ACCT 561,Foundations of Assurance Services,3,Not Repeatable for Credit,School of Business,"ÊThe course focuses on planning, performing and reporting on an audit of financial statements conducted in accordance with U.S. generally accepted auditing standards (U.S. GAAS). It also introduces the public accounting profession and the services CPAs provide.",ACCT 331 or ACCT 531 with a B- or better or permission of MSA Program Director.,LEC,3,0,,,,
ACCT601,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308831,2016-2017,ACCT 601,Online MSA Orientation Course,0,Not Repeatable for Credit,School of Business,ÊThe main objective of this course is to help students understand program expectations and time commitment and prepare themselves for online communication and technology requirements necessary to successfully complete their online MSA degree.,Enrollment in the online MSA program or permission of the MSA academic director.,SEM,,,,,Graduate Special.,
ACCT611,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307474,2016-2017,ACCT 611,Advanced Managerial Accounting,3,Not Repeatable for Credit,School of Business,ÊExamines the firm's planning and control decisions that require a more sophisticated approach than the rule-of-thumb procedures advocated for traditional cost accounting problems. Students will work with real-world issues and problems and apply the appropriate analytical model to develop relevant management accounting treatments.,"Admission to the MSA program and ACCT 311 or equivalent, or permission of the program director.",LEC,3,0,Spring,,,
ACCT630,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308646,2016-2017,ACCT 630,Advanced Financial Accounting,3,Not Repeatable for Credit,School of Business,ÊThis course covers advanced topics in financial accounting like business combinations and preparation of consolidated financial statements. Students are also introduced to specialized accounting issues related to partnerships and segment reporting.,Enrollment in MSA program or permission of MSA Director.,LEC,3,0,,,,
ACCT633,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308014,2016-2017,ACCT 633,Identifying and Resolving Advanced Issues in Financial Accounting,3,Not Repeatable for Credit,School of Business,"ÊStudents will gain knowledge and skills used in the interpretation of complex corporate financial accounting issues and in the preparation of complex financial statements. Topics include acquisitions, consolidations, derivatives, segment reporting, partnerships, and SEC reporting. Students also will learn to conduct research using the FASB Accounting Standards Codification to resolve ambiguous reporting issues.",Enrollment in MSA program or permission of MSA Director.,LEC,3,0,,,,
ACCT636,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308223,2016-2017,ACCT 636,Fraud Examination,3,Not Repeatable for Credit,School of Business,"ÊIntroduces strategies and techniques for fraud prevention and detection. Focuses on financial fraud such as bribery, contract rigging and kickbacks, embezzlement, fraudulent financial reporting, payroll fraud, and misappropriation of inventory and other assets. Several real-life cases and examples will be used to illustrate how to detect and prevent fraud.Equivalent to MBA 744, ACCT 744 (2013-2014 Catalog)",Admission to MSA program or permission of program director.,LEC,3,0,,,,
ACCT651,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307475,2016-2017,ACCT 651,Identifying and Resolving Advanced Issues in Taxation,3,Not Repeatable for Credit,School of Business,"ÊExamines the application of the federal income tax law to C-corporations, S-corporations, and partnerships. Topics will include the formation, operations, and dissolutions of such entities. Students will read and apply primary tax authorities to client fact patterns and engage in significant professional research and writing.",Admission to the MSA program or permission of the program director. ACCT 351 or equivalent.,LEC,3,0,Fall,,,
ACCT662,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308591,2016-2017,ACCT 662,Seminar in Accounting,3,Not Repeatable for Credit,School of Business,ÊProvides selective analysis of important issues in contemporary accounting practice.,Admission to the MS Accounting program or permission of the program director.,LEC,3,0,,,,
ACCT672,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307476,2016-2017,ACCT 672,Governmental and Nonprofit Accounting,3,Not Repeatable for Credit,School of Business,"ÊAccounting and Reporting for non-business organizations. Emphasizes accounting issues unique to these entities, including non-exchange transactions and lack of ownership interest. Includes accounting and reporting for state and local governments, nongovernment organizations, and the federal government.",Admission to the MSA program or permission of the program director.,LEC,3,0,Fall,,,
ACCT690,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307477,2016-2017,ACCT 690,Professional Accounting Colloquium,3,Not Repeatable for Credit,School of Business,"ÊThe Professional Accounting Colloquium is designed to give graduate accounting students the opportunity to identify, develop, and improve professional skills and attributes critical to success in the accounting profession. Students will gain an understanding of these professional accounting skills and attributes from both a theoretical and applied perspective.",Admission to the MSA program or permission of the program director.,LEC,3,0,"Fall, Spring",,Graduate Special.,
ACCT695,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308592,2016-2017,ACCT 695,Graduate Field Experience,3-Jan,Repeatable within Degree for Credit,School of Business,"ÊThis course provides a framework for approaching, successfully completing, and reflecting upon a professional field experience in accounting.  The course is designed for students who will complete semester long internship in the field of accounting either in public accounting or in industry.",Permission of MSA Program Director.,INT,1,0,,,,
ACCT696,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308217,2016-2017,ACCT 696,Directed Studies in Accounting,3-Jan,Repeatable within Degree for Credit,School of Business,ÊApproval by faculty member and program director required prior to registration. Studies specialized topics in business not otherwise available in the curriculum.,Admission to the MSA program or permission of the program director.,IND,1,0,,,,
ACCT697,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308208,2016-2017,ACCT 697,Special Topics in Accounting,3-Jan,Repeatable within Term for Credit,School of Business,ÊSections established as necessary to focus on various topical issues that emerge in practice of accounting.,Admission to the MSA program or permission of the program director.,LEC,3,0,,,Graduate Special.,
ACCT701,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307772,2016-2017,ACCT 701,Business Valuation,3,Not Repeatable for Credit,School of Business,"ÊProvides hands-on-experience in financial statement analysis and valuation. Takes an accounting-based valuation perspective and offers a comprehensive framework for analyzing financial statements consisting of (a) Business Strategy, (b) Accounting Analysis, (c) Financial Analysis, and (d) Prospective Analysis and Valuation.Equivalent to MBA 701","Admission to the MSA program or permission of instructor. ""B"" or better in MBA 613.",LEC,3,0,,,,
ACCT708,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307773,2016-2017,ACCT 708,Taxes and Business Strategy,3,Not Repeatable for Credit,School of Business,"ÊProvides a framework for making managerial decisions in a global tax environment. Examines business decisions such as location of facilities, employee compensation, mergers and acquisitions, capital and asset structure, and business form. Focuses on tax planning concepts and the effect of taxes on business decisions.Equivalent to MBA 708.",Admission to the MSA program or permission of instructor. Completion of MBA core requirements.,LEC,3,0,,,,
ACCT737,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307899,2016-2017,ACCT 737,Fraud and the Law,3,Not Repeatable for Credit,School of Business,"ÊProvides an overview of US legal system including law-making process, structure of court system, and how frauds are brought to trial, prosecuted and resolved. Explores common fraud statutes used to penalize wrongdoers. Course will examine evidentiary rules including types of evidence, hearsay, impeachment and privileges. Highlight the legal requirements for serving as an expert witness and testifying in court.",,LEC,3,0,,,,
ACCT738,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307898,2016-2017,ACCT 738,Advanced Topics in Fraud,3,Not Repeatable for Credit,School of Business,"ÊCourse will cover advanced topics in forensic accounting. The focus will be on contemporary issues in fraud. Examples of topics include litigation support, money laundering, consumer fraud, bankruptcy, divorce and tax fraud, fraud in e-commerce, insurance fraud and mortgage fraud. The course will provide a comprehensive look at fraud investigation.",,LEC,3,0,,,,
ACCT741,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301589,2016-2017,ACCT 741,Information Technology Auditing,3,Not Repeatable,School of Business,ÊIntroduces methodologies to assess security and control issues concerning accounting and other information systems. Key feature of course is applying computer-assisted audit tools and techniques to test effectiveness of application controls.Equivalent to (2015-2016  Catalog) MBA 741,"Admission to MSA or MBA program, or permission of program director.",LEC,3,0,Fall,,,
ACCT742,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301590,2016-2017,ACCT 742,Corporate Governance and Ethics,3,Not Repeatable for Credit,School of Business,"ÊFocuses on developing understanding of corporate governance issues and ethical decision making. Topics include examination of internal and external international governance issues, and ethical analysis in current business environment.Equivalent to MBA 742","Admission to MSA or MBA program, or permission of program director.",LEC,3,0,Spring,,,
ACCT743,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301591,2016-2017,ACCT 743,Corporate Financial Reporting,3,Not Repeatable for Credit,School of Business,"ÊAddresses contemporary issues in corporate financial reporting. Focuses on role of financial reporting in providing decision-useful information to participants of capital market, and theoretical and empirical assessments of its performance.Equivalent to (2015-2016 Catalog) MBA 743","Admission to MSA or MBA program, or permission of program director.",SEM,3,0,Summer,,,
ACCT745,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301592,2016-2017,ACCT 745,International Financial Reporting,3,Not Repeatable for Credit,School of Business,"ÊExamines accounting from an international perspective, including the study of various functional areas of accounting across countries and the reporting requirements encountered by companies engaged in international trade and making foreign direct investments.Equivalent to MBA 745","Completion of MBA or MSA core requirements, or permission of program director.",LEC,3,0,,,,
ACCT792,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301593,2016-2017,ACCT 792,Seminar in Accounting,3,Repeatable within Term for Credit,School of Business,ÊSelective analysis of topics addressing important issues in contemporary accounting practice.Ê Discussion of two or three major topics.,,SEM,3,0,,,,
ACCT795,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307479,2016-2017,ACCT 795,Global Accounting Environment,3,Not Repeatable for Credit,School of Business,ÊExamines the activities of accounting firms competing in the global business environment. Students will observe these activities in residency and study the decision-making processes of international accounting firms to develop an understanding of the regulatory environment of global accounting.Ê,Admission to the MSA program or permission of the program director.,LEC,3,0,Summer,,,
ACCT796,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301594,2016-2017,ACCT 796,Independent Studies/Directed Readings,3-Jan,Not Repeatable for Credit,School of Business,ÊResearch and analysis of selected problems or topics in accounting not otherwise available in curriculum.,Permission of Program Director.,"IND,",1,0,,Approval of faculty member and program director required. May be repeated for up to 3 credits.,,
AFAM200,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301595,2016-2017,AFAM 200,Introduction to African American Studies,3,Not Repeatable for Credit,African and African American Studies,"ÊInterdisciplinary introduction to the field of African American studies. Includes comparative analysis of approaches, methodologies, and key concepts related to the study of people of African descent in the United States, continental Africa, and throughout the African diaspora. Lectures and discussion integrate attention to such issues as diversity and multiculturalism from national and global perspectives.Fulfills Mason Core requirement in social and behavioral science.",,LEC,3,0,,,,
AFAM390,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301596,2016-2017,AFAM 390,Special Topics in African and African American Studies,3,Repeatable within Term for Credit,African and African American Studies,"ÊStudy of selected topics related to the study of people of African descent in Africa, the United States, the Caribbean, Latin Americas and throughout the African Diaspora.",,"LEC,",3,0,,May be repeated for a maximum of 12 credits when topic is different.,,
AFAM490,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301597,2016-2017,AFAM 490,Internship,6-Feb,Not Repeatable for Credit,African and African American Studies,"ÊApproved work-study program in cooperation with specific organizations including area museums; NGOs; and local, state, and federal agencies. Students should arrange for an internship in the semester before they wish to enroll. Requires approval of department.",AFAM 200 and 60 credits.,INT,3,0,,Credit to be determined by the African American Studies Program.,,
AFAM499,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301598,2016-2017,AFAM 499,Independent Study,3-Jan,Not Repeatable for Credit,African and African American Studies,"ÊInvestigation of an area related to African American studies according to individual interest, with emphasis on research.","Permission required from program director, Dr. Wendi Manuel-Scott.",IND,1,0,,,,
AIT500,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301599,2016-2017,AIT 500,Quantitative Foundations for Information Systems Analysis,3,Not Repeatable for Credit,Information Sciences and Technology,"ÊProvides common background in basic quantitative areas focused on decision making, information processing, and telecommunications. Topics include review of precalculus, introduction to matrix algebra, problems in optimization, and introduction to probability and statistics.",MATH 108 or equivalent,LEC,3,0,,Does not fulfill any VSITE graduate degree requirement.,,
AIT504,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301600,2016-2017,AIT 504,Issues of Cyberspace,3,Not Repeatable for Credit,Information Sciences and Technology,"ÊStudent panels explore, report on, and make recommendations regarding major and novel problems presented by the explosive and intrusive growth of 'cyberspace.'Ê Legal, ethical, financial, security, utility and value to users and organizations, feasibility, and desirability aspects are considered. Each semester features a major topic area.",,LEC,3,0,"Fall, Spring",,,
AIT510,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308470,2016-2017,AIT 510,"Learning Technology: Theory, Application and Design",3,Not Repeatable for Credit,Information Sciences and Technology,"ÊIntroduces students to theory, application and design of learning technologies, discussing why technology should be used for learning and education, how it should be applied, and how one can design digital tools to improve learning and education. Use of data, analytics, and emerging applications such as social media will also be discussed.",(IT 415 or equivalent) and (SYST 469 or equivalent).,LEC,3,0,Spring,,,
AIT521,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301601,2016-2017,AIT 521,Software Engineering Essentials,3,Not Repeatable for Credit,Information Sciences and Technology,"ÊProvides an overview of essential topics in software engineering, including problem solving with computers, requirements, software design, software development, testing, verification, validation, usability, and management. Discuss concepts related to building software, including data structures, object-oriented programming, event handling in GUIs, and web application technologies and how these concepts are handled in various languages, but without requiring the students to program.Equivalent to SWE 521 (2015-2016 Catalog).",Graduate standing.,LEC,3,0,Spring,This course does not count towards MS programs offered in the Computer Science Department and cannot be used to satisfy course requirements for PhD IT students.,,
AIT524,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301602,2016-2017,AIT 524,Database Management Essentials,3,Not Repeatable for Credit,Information Sciences and Technology,ÊRelational database management systems. Covers logical and physical database design; query languages and database programming; and examines commercial systems. Computing lab.,"Graduate Standing in MS, AIT program or permission of instructor.",LEC,3,0,Spring,This course does not count towards MS programs offered in the Computer Science Department and cannot be used to satisfy course requirements for PhD IT students.,,
AIT580,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308103,2016-2017,AIT 580,Analytics: Big Data to Information,3,Not Repeatable for Credit,Information Sciences and Technology,"ÊCourse provides an overview of Big Data and its use in commercial, scientific, governmental and other applications.  Topics include technical and non-technical disciplines required to collect, process and use enormous amounts of data available from numerous sources.  Lectures cover system acquisition, law and policy, and ethical issues.  It includes brief discussions of technologies involved in collecting, mining, analyzing and using results.",Graduate Standing.,LEC,3,0,"Fall, Spring",,,
AIT581,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308187,2016-2017,AIT 581,Problem Formation and Solving in Big Data,3,Not Repeatable for Credit,Information Sciences and Technology,"ÊThe course explores challenges facing analysts exploiting Big Data or Bespoke Data in combination with Big Data, and looks at solutions, mindful of the fact that our intellectual and practical practices are based entirely on the 5000 year old Bespoke Data paradigm, and considering that Big Data practices are too recent to lead to comparable Big Data tools and practices.",Graduate standing.,LEC,3,0,"Fall, Spring",Course may be used in other certificate and degree programs.,,
AIT582,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308186,2016-2017,AIT 582,Applications of Metadata in Complex Big Data Problems,3,Not Repeatable for Credit,Information Sciences and Technology,"ÊCourse explores technical and analytical issues, solutions and gaps in processing large volumes of data by leveraging metadata. The goal is to find ""facts of interest"" (Intelligence) that represent threats to, or even opportunities for, a given industry or domain (e.g., healthcare, finance or national intelligence/national defense) where there is limited time.",Graduate standing.,LEC,3,0,"Fall, Spring",Course may be used in other Certificate or Degree programs.,,
AIT590,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301603,2016-2017,AIT 590,Topics in Applied Information Technology,3,Repeatable within Term for Credit,Information Sciences and Technology,ÊTopics in the application of information technology. Students are expected to participate actively through class dialogues and the crafting of IT solutions to specific problem areas. Course cannot be used to satisfy course requirements for PhD IT students.,Graduate standing and permission of instructor.,LEC,3,0,"Fall, Spring, Summer",,,
