CS465,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302800,2016-2017,"CS 465","Computer Systems Architecture",3,"Limited to 2 Attempts","Computer Science","Computer subsystems and instruction set architectures. Single-cycle, multiple-cycle, and pipeline architectures. Memory hierarchy, cache, and virtual memory input-output processing.","Grade of C or better in CS 367.",None,"",LEC,3,0,Traditional,"See GMU Catalog"
CS483,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302806,2016-2017,"CS 483","Analysis of Algorithms",3,"Limited to 2 Attempts","Computer Science","Analyzes computational resources for important problem types by alternative algorithms and their associated data structures, using mathematically rigorous techniques. Specific algorithms analyzed and improved.","Grade of C or better in CS 310, CS 330 and MATH 125.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
ECE301,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=303100,2016-2017,"ECE 301","Digital Electronics",3,"Limited to 2 Attempts","Electrical and Computer Engineering","Introduces digital systems, circuits, and computers. Topics include binary systems and codes, digital logic gates and circuits, microelectronics and integrated circuits, coding and multiplexing, multivibrators, shift registers, counters, A/D converters, and elementary computer architecture.","Grade of C or better in MATH 125 or MATH 112.",None,"Not intended for those majoring in electrical or computer engineering.","LAB, LEC",3,2,Traditional,"Fall, Spring"
CS463,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307750,2016-2017,"CS 463","Comparative Programming Languages",3,"Limited to 2 Attempts","Computer Science","Key programming mechanisms described independently of particular machines or languages, including control, binding, procedural abstraction, types, and concurrency. Includes basic programming competence in several different types of programming languages, including a language that provides concurrency.Equivalent to CS 363 (2013-2014 Catalog).","C or better in CS 330 and CS 367.",None,"Students who have taken CS 363 may not receive credit for CS 463.",LEC,3,0,Traditional,"See GMU Catalog"
CS471,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302802,2016-2017,"CS 471","Operating Systems",3,"Limited to 2 Attempts","Computer Science","Issues in multiprogramming. Covers concurrent processes and synchronization mechanisms; processor scheduling; memory, file, I/O, and deadlock management; performance of operating systems; and projects dealing with synchronization in multiprogrammed OS and virtual memory management.","C or better in CS 310 and (CS 367 or ECE 445).",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS475,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302803,2016-2017,"CS 475","Concurrent and Distributed Systems",3,"Limited to 2 Attempts","Computer Science","Practical issues in designing and implementing concurrent and distributed software. Topics include concurrent programming, synchronization, multithreading, local and wide-area network protocols, distributed computation, systems integration, and techniques for expressing coarsegrained parallelism at the application level. Projects involve network programming at application level.","Grade of C or better in CS 310 and 367.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS425,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302792,2016-2017,"CS 425","Game Programming I",3,"Limited to 2 Attempts","Computer Science","Introduction to technologies and techniques used in modern computer games. Teams will explore the various facets of a complete design using sophisticated tools. Includes a project in which a game is prototyped; this prototype and initial design will serve as the starting point for the project in CS 426.","Grade of C or better in CS 310 and CS 351.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS440,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302794,2016-2017,"CS 440","Language Processors and Programming Environments",3,"Limited to 2 Attempts","Computer Science","Survey of basic programming language processors and software development tools such as assemblers, interpreters, and compilers. Topics include design and construction of language processors, formal syntactic definition methods, parsing techniques, and code-generation techniques.","Grade of C or better in CS 310, 330, and 367.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS450,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302797,2016-2017,"CS 450","Database Concepts",3,"Limited to 2 Attempts","Computer Science","Covers basics to intermediate knowledge for the design, implementation, and use of relational database systems. Topics include the Entity-Relationship (ER) and Entity-Enhanced Relationship (EER) models for database design, Relational Algebra (RA), Structured Query Language (SQL), SQL programming techniques, functional dependencies and normalization, object and object-relational databases, and security. Students will practice to design, develop, and implement a relational ORACLE database and use the database for queries, transaction processing, and report generation.","Grade of C or better in CS 310 and 330.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS451,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302798,2016-2017,"CS 451","Computer Graphics",3,"Limited to 2 Attempts","Computer Science","Basic graphics principles and programming. Topics include scan conversion, transformation, viewing, lighting, blending, texture mapping, and some advanced graphics techniques.","Grade of C or better in MATH 203, CS 310, and CS 367.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS455,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302799,2016-2017,"CS 455","Computer Communications and Networking",3,"Limited to 2 Attempts","Computer Science","Data communications and networking protocols, with study organized to follow layers of Internet Protocol Suite (TCP/IP family of protocols). Topics include role of various media and software components, local and wide area network protocols, network performance, and emerging advanced commercial technologies.","Grade of C or better in CS 310 and 367, and STAT 344.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS468,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302801,2016-2017,"CS 468","Secure Programming and Systems",3,"Limited to 2 Attempts","Computer Science","Fundamental principles and techniques for implementing secure computer systems. Topics include security and cryptography basics, vulnerability analysis, secure software development, and distributed system security. Projects involve designing and programming basic security tools, secure programs, and distributed systems.","Grade of C or better in CS 310 and CS 367.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS469,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307746,2016-2017,"CS 469","Security Engineering",3,"Limited to 2 Attempts","Computer Science","Covers the software subsystems that are involved in defending computer systems. Studies threats and architecting solutions against them, including but not limited to access control and identity management, network and system security, intrusion detection and recovery systems, monitoring and forensic systems.","C or better in CS 330, CS 367, and STAT 344.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS477,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308297,2016-2017,"CS 477","Mobile Application Development",3,"Limited to 2 Attempts","Computer Science","This project based course will teach fundamental principles of software development for the mobile device environment, emphasizing the application of numerous academic concepts and the new design and programming paradigms that stem from the use of mobile devices. Topics include user interfaces, event-based programming, interprocess communications, networking, mobile-specific capabilities and performance in a resource restricted environment.","C or better in CS 310 and CS 367.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS480,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302804,2016-2017,"CS 480","Introduction to Artificial Intelligence",3,"Limited to 2 Attempts","Computer Science","Principles and methods for knowledge representation, reasoning, learning, problem solving, planning, heuristic search, and natural language processing and their application to building intelligent systems in a variety of domains. Uses LISP, PROLOG, or expert system programming language.","Grade of C or better in CS 310 and 330.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS482,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302805,2016-2017,"CS 482","Computer Vision",3,"Limited to 2 Attempts","Computer Science","Basic principles of visual perception and their implementation on computer systems. Topics include early visual processing, edge detection, segmentation, intrinsic images, image modeling, representation of visual knowledge, and image understanding. Students complete projects involving real images.","Grade of C or better in CS 310, MATH 203 and STAT 344",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS484,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302807,2016-2017,"CS 484","Data Mining",3,"Limited to 2 Attempts","Computer Science","Basic principles and methods for data analysis and knowledge discovery. Emphasizes developing basic skills for modeling and prediction and performance evaluation. Topics include system design; data quality, preprocessing, and association; event classification; clustering; biometrics; business intelligence; and mining complex types of data.","Grade of C or better in CS 310 and STAT 344.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS485,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302808,2016-2017,"CS 485","Autonomous Robotics",3,"Limited to 2 Attempts","Computer Science","Covers various basic topics in autonomous robotics, such as autonomous architectures and their interaction with physical hardware, elementary kinematics and robot control, motion and trajectory planning, localization, task planning, learning and adaptation, modeling, and sensor fusion. Includes projects involving physical robots.","CS 262, CS 310, MATH 203 or permission of the instructor.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS490,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302809,2016-2017,"CS 490","Design Exhibition",3,"Repeatable within Degree for Credit","Computer Science","Capstone course focusing on design and successful implementation of major software project, encompassing broad spectrum of knowledge and skills, developed by team of students. Requires final exhibition to faculty-industry panel.","Grade of C or better in CS 321, CS 483; two other CS 400-level courses; and senior standing.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
CS499,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302811,2016-2017,"CS 499","Special Topics in Computer Science",3,"Repeatable within Term for Credit","Computer Science","Topics of special interest to undergraduates.","60 credits and permission of instructor; specific prerequisites vary with nature of topic.",None,"May be repeated for maximum 6 credits if topics substantially different.",LEC,3,0,Traditional,"See GMU Catalog"
MATH446,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=305085,2016-2017,"MATH 446","Numerical Analysis I",3,"Not Repeatable for Credit","Mathematical Sciences","Significant figures, round-off errors, iterative methods of solution of nonlinear equations of a single variable, solutions of linear systems, iterative techniques in matrix algebra, interpolation and polynomial approximation.","Grade of C or better in MATH 203 and CS 112.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
MATH481,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=305765,2016-2017,"MATH 481","Numerical Methods in Engineering",3,"Limited to 2 Attempts","Systems Engineering and Operations Research","Modern numerical methods and software. Emphasis on problem solving through software and assessing the quality of solutions obtained. Topics include computer arithmetic, linear equations and least squares data fitting, interpolation, nonlinear optimization, and differential equations. Involves extensive computer use.Equivalent to MATH 446","Grade of C or better in MATH 203 and CS 112.",None,None,LEC,3,0,Traditional,"Fall, Spring"
MATH113,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=305052,2016-2017,"MATH 113","Analytic Geometry and Calculus I",4,"Not Repeatable for Credit","Mathematical Sciences","Functions, limits, the derivative, maximum and minimum problems, the integral, and transcendental functions.Fulfills Mason Core requirement in quantitative reasoning.","C or better in MATH 104 or MATH 105 or specified score on math placement test.",None,None,"LEC,",4,1,Traditional,"See GMU Catalog"
MATH114,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=305053,2016-2017,"MATH 114","Analytic Geometry and Calculus II",4,"Not Repeatable for Credit","Mathematical Sciences","Methods of integration, conic sections, parametric equations, infinite series, and power series.","C or better in MATH 113 or in both MATH 123 and 124.",None,None,"LEC,",4,1,Traditional,"See GMU Catalog"
MATH125,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=305056,2016-2017,"MATH 125","Discrete Mathematics I",3,"Not Repeatable for Credit","Mathematical Sciences","Introduces ideas of discrete mathematics and combinatorial proof techniques including mathematical induction, sets, graphs, trees, recursion, and enumeration.Fulfills Mason Core requirement in quantitative reasoning.","Score of 13 or better on the Math Placement Test, or Grade of C or better in MATH 105, or Grade of C or better in MATH 108, or Grade of C or better in MATH 113.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
MATH203,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=305057,2016-2017,"MATH 203","Linear Algebra",3,"Not Repeatable for Credit","Mathematical Sciences","Systems of linear equations, linear independence, linear transformations, inverse of a matrix, determinants, vector spaces, eigenvalues, eigenvectors, and orthogonalization.","C or better in MATH 114 or MATH 116.",None,None,LEC,3,0,Traditional,"See GMU Catalog"
MATH213,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=305058,2016-2017,"MATH 213","Analytic Geometry and Calculus III",3,"Not Repeatable for Credit","Mathematical Sciences","Partial differentiation, multiple integrals, line and surface integrals, and three-dimensional analytic geometry.","C or better in MATH 114 or MATH 116.",None,None,"LEC,",3,0,Traditional,"See GMU Catalog"
MATH104,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=305045,2016-2017,"MATH 104","Trigonometry and Transcendental Functions",2,"Not Repeatable for Credit","Mathematical Sciences","Exponential and logarithmic functions, trigonometric functions, and analytic trigonometry. This course does not satisfy the university's quantitative reasoning requirement. May not be taken for credit after receiving a C or better in MATH105 or in any MATH course numbered 113 or higher. May not take MATH105 for credit after receiving a C or better in MATH104.","Specified score on math placement test.",None,"May not be used as credit toward BA or BS in mathematical sciences.",LEC,2,0,Traditional,"See GMU Catalog"
MATH105,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=305046,2016-2017,"MATH 105","Precalculus Mathematics",4,"Not Repeatable for Credit","Mathematical Sciences","Reviews mathematics skills essential to studying calculus. Topics include equations, inequalities, absolute values, graphs, functions, exponential and logarithmic functions, and trigonometry.","Appropriate score on the math placement test or successful completion of the algebra tutorial program offered through the Math Literacy Center.",None,"Call Mathematical Sciences Department at 703-993-1460 for details. May not be used as credit toward BA or BS in mathematical sciences. This course does not satisfy the university's quantitative reasoning requirement for the BA degree. May not be taken for credit after receiving grade of C or better in any MATH course numbered 113 or higher.",LEC,4,0,Traditional,"See GMU Catalog"
